area;emoji;name;type;hp;atk;sta;lck;int;mgk;def;note;desc;message;achiev

Twisted Fairyland;🎭;Masked Jester;Standard;4;2;3;1;2;0;0;Fae Trickster;Laughs through every blow it deals you.<br>;The joke landed harder than intended.;none
Twisted Fairyland;🦌;Twisted Stag;Standard;5;3;2;0;1;0;0;Corrupted Beast;Antlers grown into impossible angles.<br>;Gored on an impossible tangle.;none
Twisted Fairyland;🎪;Carnival Brute;Standard;5;3;2;0;2;0;0;Fallen Performer;Dressed for a festival that ended badly.<br>;Entertainment turned fatal.;none
Twisted Fairyland;🐊;Scaled Wanderer;Standard;4;3;2;0;1;0;0;Ancient Reptile;Weathered and vicious in equal parts.<br>;Taken in one vicious, practiced snap.;none
Twisted Fairyland;🪔;Living Witchlight;Hot;3;2;2;0;3;1;0;Twisted Flame;Burns with intent rather than fuel.<br>;Consumed from the inside out.;none
Twisted Fairyland;🐉;Searing Drake;Hot;4;3;2;0;1;1;0;Hatchling Fury;Too small to respect, but too hot to dismiss.<br>;Reduced to a shadow on the ground.;none
Twisted Fairyland;💀;Skulking Remnant;Undead;4;3;2;0;-1;0;0;Forgotten Dead;Moves through shadows like it owns the dark.<br>;Struck down without ceremony.;none
Twisted Fairyland;⚰️;Risen Shade;Undead;5;3;3;0;-1;0;0;Persistent Dead;Should have stayed in the ground.<br>The corruption found it worth raising.;Fell to what wouldn't stay dead.;none
Twisted Fairyland;🫥;Lingering Echo;Reflective;4;2;2;1;3;1;0;Fae Phantom;Copies your movements with unsettling accuracy.<br>;Defeated by your own reflection.;none
Twisted Fairyland;🌺;Poison Petal;Stingy;3;2;1;0;1;0;0;Beautiful Hazard;Beautiful and unpleasant in equal measure.<br>The nectar burns long after contact.;Stung somewhere it mattered.;none

//River of Sorrows — new enemies
River of Sorrows;🫠;Fever Shade;Hot;4;2;3;0;0;1;0;Heat Specter;Dead warmth fills the cold air around it.<br>;The fever became your last dream.;none
River of Sorrows;🏊;Endless Swimmer;Standard;3;2;4;0;0;0;0;Lost Soul;Swims slow circles in the shallows, never tiring.<br>;Pulled you under mid-stroke.;none

//Twisted Fairyland
Twisted Fairyland;⚗️;Crystal Beaker;Item-Head;0;0;0;0;1;1;0;<b>Artifact</b>;Bubbles with a liquid that defies gravity.<br>Provides <b>+1 🧠 Intellect</b> and <b>+1 🔵 Mana</b>.;The air smells of ozone.;none
Twisted Fairyland;🩱;Iridescent Leotard;Item-Chest;0;0;1;0;0;1;0;Stretchy Wear;Moves as if floating on an unseen wind.<br>Provides <b>+1 🟢 Energy</b> and <b>+1 🔵 Mana</b>.;Elegance in the chaos.;none
Twisted Fairyland;🎍;Sharp Bamboo;Item-Weapon;0;2;0;0;-1;0;0;Improvised Blade;Grows faster than you can bleed.<br>Provides <b>+2 ⚔️ Attack</b> for <b>-1 🧠 Intellect</b>.;Nature strikes back.;none

//River of Sorrows
River of Sorrows;🩺;Mariner's Ear;Item-Head;0;0;0;1;0;1;0;Diagnostic Tool;Allows you to hear the heartbeat of the river.<br>Provides <b>+1 🍀 Luck</b> and <b>+1 🔵 Mana</b>.;A steady, wet rhythm.;none
